               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12642,            0.027606,            0.078399,           0.0036806,             0.06571,           0.0021566,           0.0005172,             0.12509,            0.022191,            0.079135,              0.0955,              0.0005,              0.0005
                   1,             0.12398,            0.033741,             0.07667,            0.003741,            0.082377,           0.0021609,          0.00048242,             0.12127,            0.024488,            0.076762,            0.090098,           0.0010978,           0.0010978
                   2,             0.11944,             0.03516,            0.073707,           0.0039927,             0.10633,           0.0029384,          0.00058721,             0.11614,            0.027713,            0.073918,            0.084693,           0.0016933,           0.0016933
                   3,             0.11634,            0.046081,            0.071655,            0.004725,             0.12818,           0.0035835,          0.00092176,             0.11131,            0.030788,            0.070755,            0.079286,           0.0022863,           0.0022863
                   4,             0.11027,            0.042693,            0.068498,           0.0066002,             0.19944,           0.0059669,           0.0014349,             0.10575,            0.034196,            0.066288,            0.073877,            0.002877,            0.002877
                   5,             0.10656,            0.054594,            0.062908,           0.0084954,             0.27843,            0.018782,           0.0043067,               0.102,            0.035986,            0.060335,            0.068465,           0.0034654,           0.0034654
                   6,             0.10385,            0.056159,            0.057662,             0.55317,            0.036774,            0.033405,           0.0089204,            0.099324,            0.036534,            0.053378,            0.063051,           0.0040513,           0.0040513
                   7,            0.099985,            0.053625,            0.053583,             0.62522,            0.068539,            0.060158,            0.020051,            0.097119,            0.036395,            0.045727,            0.057635,           0.0046349,           0.0046349
                   8,            0.097648,            0.055148,              0.0463,             0.62235,            0.054839,            0.041347,            0.012521,            0.094979,            0.036746,            0.038199,            0.052216,            0.005216,            0.005216
                   9,            0.093937,            0.053774,            0.040001,             0.28864,            0.039939,            0.021621,           0.0066436,            0.093227,            0.039012,            0.033577,            0.046795,           0.0057949,           0.0057949
                  10,            0.092988,            0.051082,            0.036001,             0.54874,            0.018869,           0.0061873,           0.0021893,            0.092048,            0.046582,            0.030886,            0.041371,           0.0063713,           0.0063713
                  11,            0.092463,            0.046018,            0.036102,             0.53473,             0.01991,           0.0080379,           0.0025075,            0.090942,            0.052107,            0.028587,            0.035945,           0.0069454,           0.0069454
                  12,             0.08952,            0.053495,            0.029059,             0.53925,            0.016078,            0.010021,           0.0029416,            0.090201,            0.052904,            0.026236,            0.030517,            0.007517,            0.007517
                  13,            0.087607,            0.052834,            0.028125,             0.54722,            0.029404,           0.0098484,           0.0028896,             0.09135,            0.046444,            0.023876,            0.025086,           0.0080864,           0.0080864
                  14,            0.092839,            0.056718,            0.025656,             0.26274,            0.018869,           0.0036895,           0.0014377,              0.1014,            0.042633,            0.022229,            0.019653,           0.0086533,           0.0086533
                  15,            0.088576,             0.05097,            0.022557,               0.572,            0.032608,            0.016653,            0.004611,              0.1002,            0.038434,            0.019035,            0.014218,           0.0092178,           0.0092178
                  16,            0.092764,            0.050943,            0.021221,             0.37798,            0.069383,            0.028888,           0.0079454,            0.093661,            0.038658,             0.01767,           0.0096832,           0.0096832,           0.0096832
                  17,             0.08928,            0.051169,            0.019767,             0.30303,            0.027321,            0.015935,           0.0064925,             0.10242,            0.037307,            0.015638,           0.0096832,           0.0096832,           0.0096832
                  18,            0.091529,            0.047416,            0.016714,             0.34125,            0.099631,            0.052516,            0.014525,            0.089033,            0.038935,            0.014508,           0.0096634,           0.0096634,           0.0096634
                  19,            0.081925,            0.054694,            0.016035,             0.13535,             0.14183,            0.050709,            0.015654,            0.090702,            0.042001,            0.013428,           0.0096436,           0.0096436,           0.0096436
                  20,            0.086247,            0.046417,            0.015474,             0.13675,             0.12961,            0.042268,            0.011911,            0.090684,            0.043272,            0.012385,           0.0096238,           0.0096238,           0.0096238
                  21,            0.085655,            0.052926,            0.013387,             0.15438,             0.12279,            0.052411,            0.018209,            0.089654,             0.04488,            0.011062,            0.009604,            0.009604,            0.009604
                  22,            0.081928,            0.048215,            0.012683,             0.15717,              0.1765,             0.06263,            0.017555,            0.087295,            0.042418,            0.010227,           0.0095842,           0.0095842,           0.0095842
                  23,             0.08342,            0.048849,             0.01161,             0.12204,             0.15647,            0.055117,            0.016409,            0.088279,            0.039575,           0.0092593,           0.0095644,           0.0095644,           0.0095644
                  24,            0.082155,             0.04935,            0.012078,             0.18001,             0.23295,             0.10736,            0.030725,            0.086327,            0.038465,           0.0087641,           0.0095446,           0.0095446,           0.0095446
                  25,            0.078552,            0.049143,             0.01114,             0.15807,             0.20949,            0.098665,            0.035739,            0.089624,            0.037992,           0.0080174,           0.0095248,           0.0095248,           0.0095248
                  26,            0.083994,            0.046926,            0.009962,             0.22979,             0.25084,             0.14271,            0.051536,            0.078385,            0.040016,           0.0076267,            0.009505,            0.009505,            0.009505
                  27,             0.07425,            0.052509,            0.010665,             0.26913,             0.29173,             0.16348,            0.056255,            0.082601,            0.040996,           0.0071419,           0.0094852,           0.0094852,           0.0094852
                  28,            0.079207,            0.050058,           0.0095523,             0.26108,             0.22266,             0.12597,            0.047506,            0.084369,            0.038364,           0.0067569,           0.0094654,           0.0094654,           0.0094654
                  29,              0.0809,            0.048296,           0.0088463,             0.32164,             0.30697,             0.21739,            0.082352,            0.075503,            0.038144,           0.0066219,           0.0094456,           0.0094456,           0.0094456
                  30,            0.079723,            0.051712,           0.0085003,             0.15646,             0.24708,             0.12164,            0.043534,            0.087734,            0.037475,           0.0062048,           0.0094258,           0.0094258,           0.0094258
                  31,            0.077166,            0.046643,           0.0082724,             0.23993,             0.31669,             0.16775,            0.064853,            0.078435,            0.035988,           0.0055671,            0.009406,            0.009406,            0.009406
                  32,            0.076345,            0.046324,           0.0094377,             0.32431,             0.46872,             0.29714,             0.11084,            0.074818,            0.034646,           0.0053288,           0.0093862,           0.0093862,           0.0093862
                  33,            0.074983,            0.044592,           0.0070744,             0.31201,             0.41798,             0.27943,            0.088861,            0.075291,            0.033861,           0.0050107,           0.0093664,           0.0093664,           0.0093664
                  34,            0.075783,            0.047202,           0.0068881,             0.29786,             0.43249,             0.30261,             0.11332,            0.074118,            0.032742,           0.0049144,           0.0093466,           0.0093466,           0.0093466
                  35,            0.070367,            0.054358,            0.007355,             0.25988,             0.48333,             0.29092,             0.12166,            0.075708,            0.036129,            0.004766,           0.0093268,           0.0093268,           0.0093268
                  36,             0.07695,            0.048161,            0.006222,             0.18128,             0.49508,             0.26423,             0.09581,            0.074822,             0.03514,           0.0047555,            0.009307,            0.009307,            0.009307
                  37,            0.072778,            0.055516,           0.0066081,             0.29511,             0.39364,              0.2575,            0.095123,            0.075428,            0.034301,            0.004552,           0.0092872,           0.0092872,           0.0092872
                  38,            0.076521,             0.04856,           0.0058686,             0.32767,             0.48593,             0.35156,             0.13415,            0.071834,            0.034209,           0.0045101,           0.0092674,           0.0092674,           0.0092674
